max_iter,learning_rate_init,hidden_layer_sizes_1,hidden_layer_sizes_2,early_stopping,activation,validation_score
1000,0.001,100,200,False,tanh,0.7415757321047185
4000,0.001,100,200,False,tanh,0.7415757321047185
1000,0.01,200,50,True,tanh,0.7413188479889095
3000,0.01,200,50,True,tanh,0.7413188479889095
4000,0.01,200,50,True,tanh,0.7413188479889095
5000,0.01,200,50,True,tanh,0.7413188479889095
2000,0.01,200,50,True,tanh,0.7413188479889095
5000,0.01,200,100,True,tanh,0.7408474320092933
1000,0.01,200,100,True,tanh,0.7408474320092933
3000,0.01,200,100,True,tanh,0.7408474320092933
4000,0.01,200,100,True,tanh,0.7408474320092933
2000,0.01,200,100,True,tanh,0.7408474320092933
1000,0.001,200,50,False,relu,0.7406463999436605
3000,0.001,200,50,False,relu,0.7406463999436605
5000,0.001,200,50,False,relu,0.7406463999436605
4000,0.001,200,50,False,relu,0.7406463999436605
2000,0.001,200,50,False,relu,0.7406463999436605
3000,0.01,50,200,False,logistic,0.7390011096732796
5000,0.01,50,200,False,logistic,0.7390011096732796
4000,0.01,50,200,False,logistic,0.7390011096732796
1000,0.01,50,200,False,logistic,0.7390011096732796
2000,0.01,50,200,False,logistic,0.7390011096732796
3000,0.01,200,100,True,relu,0.7387446306662352
5000,0.01,200,100,True,relu,0.7387446306662352
1000,0.01,200,100,True,relu,0.7387446306662352
4000,0.01,200,100,True,relu,0.7387446306662352
2000,0.01,200,100,True,relu,0.7387446306662352
4000,0.01,100,50,True,relu,0.7386912065832463
2000,0.01,100,50,True,relu,0.7386912065832463
1000,0.01,100,50,True,relu,0.7386912065832463
3000,0.01,100,50,True,relu,0.7386912065832463
5000,0.01,100,50,True,relu,0.7386912065832463
3000,0.01,50,50,True,logistic,0.7383396951729688
1000,0.01,50,50,True,logistic,0.7383396951729688
2000,0.01,50,50,True,logistic,0.7383396951729688
4000,0.01,50,50,True,logistic,0.7383396951729688
5000,0.01,50,50,True,logistic,0.7383396951729688
2000,0.001,200,200,False,tanh,0.7382125512972095
4000,0.001,200,200,False,tanh,0.7382125512972095
1000,0.001,200,200,False,tanh,0.7382125512972095
5000,0.001,200,200,False,tanh,0.7382125512972095
3000,0.001,200,200,False,tanh,0.7382125512972095
2000,0.01,200,100,False,logistic,0.7378266804158817
1000,0.01,200,100,False,logistic,0.7378266804158817
5000,0.01,200,100,False,logistic,0.7378266804158817
4000,0.01,200,100,False,logistic,0.7378266804158817
3000,0.01,200,100,False,logistic,0.7378266804158817
1000,0.001,50,50,False,tanh,0.7361469374025364
3000,0.001,50,50,False,tanh,0.7361469374025364
2000,0.001,50,50,False,tanh,0.7361469374025364
4000,0.001,50,50,False,tanh,0.7361469374025364
5000,0.001,50,50,False,tanh,0.7361469374025364
1000,0.001,50,200,False,tanh,0.7361417724193955
3000,0.001,50,200,False,tanh,0.7361417724193955
5000,0.001,50,200,False,tanh,0.7361417724193955
4000,0.001,50,200,False,tanh,0.7361417724193955
2000,0.001,50,200,False,tanh,0.7361417724193955
5000,0.01,200,50,True,logistic,0.7349197555568596
2000,0.01,200,50,True,logistic,0.7349197555568596
4000,0.01,200,50,True,logistic,0.7349197555568596
1000,0.01,200,50,True,logistic,0.7349197555568596
3000,0.01,200,50,True,logistic,0.7349197555568596
1000,0.1,100,200,True,logistic,0.7348750492940554
2000,0.1,100,200,True,logistic,0.7348750492940554
5000,0.1,100,200,True,logistic,0.7348750492940554
3000,0.1,100,200,True,logistic,0.7348750492940554
4000,0.1,100,200,True,logistic,0.7348750492940554
4000,0.01,200,100,False,relu,0.7336280939331988
3000,0.01,200,100,False,relu,0.7336280939331988
5000,0.01,200,100,False,relu,0.7336280939331988
1000,0.01,200,100,False,relu,0.7336280939331988
2000,0.01,200,100,False,relu,0.7336280939331988
2000,0.001,200,50,False,logistic,0.7333606082675861
3000,0.001,200,50,False,logistic,0.7333606082675861
5000,0.001,200,50,False,logistic,0.7333606082675861
4000,0.001,200,50,False,logistic,0.7333606082675861
1000,0.001,200,50,False,logistic,0.7333606082675861
2000,0.01,100,100,False,relu,0.7325084909585877
4000,0.01,100,100,False,relu,0.7325084909585877
5000,0.01,100,100,False,relu,0.7325084909585877
1000,0.01,100,100,False,relu,0.7325084909585877
3000,0.01,100,100,False,relu,0.7325084909585877
5000,0.01,200,200,True,logistic,0.7316555427943432
4000,0.01,200,200,True,logistic,0.7316555427943432
3000,0.01,200,200,True,logistic,0.7316555427943432
2000,0.01,200,200,True,logistic,0.7316555427943432
1000,0.01,200,200,True,logistic,0.7316555427943432
4000,0.01,50,200,True,logistic,0.7308507886326722
5000,0.01,50,200,True,logistic,0.7308507886326722
2000,0.01,50,200,True,logistic,0.7308507886326722
1000,0.01,50,200,True,logistic,0.7308507886326722
3000,0.01,50,200,True,logistic,0.7308507886326722
1000,0.1,50,50,False,relu,0.7307947555968758
4000,0.1,50,50,False,relu,0.7307947555968758
2000,0.1,50,50,False,relu,0.7307947555968758
5000,0.1,50,50,False,relu,0.7307947555968758
3000,0.1,50,50,False,relu,0.7307947555968758
3000,0.1,100,50,False,relu,0.7299641108468706
5000,0.1,100,50,False,relu,0.7299641108468706
2000,0.1,100,50,False,relu,0.7299641108468706
1000,0.1,100,50,False,relu,0.7299641108468706
4000,0.1,100,50,False,relu,0.7299641108468706
4000,0.01,100,50,True,logistic,0.7297674293477476
3000,0.01,100,50,True,logistic,0.7297674293477476
5000,0.01,100,50,True,logistic,0.7297674293477476
1000,0.01,100,50,True,logistic,0.7297674293477476
2000,0.01,100,50,True,logistic,0.7297674293477476
5000,0.001,50,50,False,logistic,0.729595229729883
2000,0.001,50,50,False,logistic,0.729595229729883
3000,0.001,50,50,False,logistic,0.729595229729883
1000,0.001,50,50,False,logistic,0.729595229729883
4000,0.001,50,50,False,logistic,0.729595229729883
1000,0.1,50,100,False,relu,0.7289623811232313
2000,0.1,50,100,False,relu,0.7289623811232313
5000,0.1,50,100,False,relu,0.7289623811232313
4000,0.1,50,100,False,relu,0.7289623811232313
3000,0.1,50,100,False,relu,0.7289623811232313
5000,0.1,100,100,False,relu,0.7286263728688244
2000,0.1,100,100,False,relu,0.7286263728688244
1000,0.1,100,100,False,relu,0.7286263728688244
4000,0.1,100,100,False,relu,0.7286263728688244
3000,0.1,100,100,False,relu,0.7286263728688244
2000,0.01,200,200,False,logistic,0.7285026079791901
1000,0.01,200,200,False,logistic,0.7285026079791901
5000,0.01,200,200,False,logistic,0.7285026079791901
4000,0.01,200,200,False,logistic,0.7285026079791901
3000,0.01,200,200,False,logistic,0.7285026079791901
4000,0.001,200,200,True,tanh,0.7284494974599087
2000,0.001,200,200,True,tanh,0.7284494974599087
1000,0.001,200,200,True,tanh,0.7284494974599087
5000,0.001,200,200,True,tanh,0.7284494974599087
3000,0.001,200,200,True,tanh,0.7284494974599087
5000,0.001,50,50,False,relu,0.7278351333451726
4000,0.001,50,50,False,relu,0.7278351333451726
2000,0.001,50,50,False,relu,0.7278351333451726
3000,0.001,50,50,False,relu,0.7278351333451726
1000,0.001,50,50,False,relu,0.7278351333451726
5000,0.01,50,100,True,logistic,0.727083997874395
1000,0.01,50,100,True,logistic,0.727083997874395
2000,0.01,50,100,True,logistic,0.727083997874395
3000,0.01,50,100,True,logistic,0.727083997874395
4000,0.01,50,100,True,logistic,0.727083997874395
1000,0.01,100,50,False,relu,0.7262757310013606
4000,0.01,100,50,False,relu,0.7262757310013606
2000,0.01,100,50,False,relu,0.7262757310013606
5000,0.01,100,50,False,relu,0.7262757310013606
3000,0.01,100,50,False,relu,0.7262757310013606
1000,0.01,200,200,True,relu,0.7257707453637485
4000,0.01,200,200,True,relu,0.7257707453637485
2000,0.01,200,200,True,relu,0.7257707453637485
3000,0.01,200,200,True,relu,0.7257707453637485
5000,0.01,200,200,True,relu,0.7257707453637485
3000,0.001,200,50,True,logistic,0.7256195780075598
4000,0.001,200,50,True,logistic,0.7256195780075598
2000,0.001,200,50,True,logistic,0.7256195780075598
1000,0.001,200,50,True,logistic,0.7256195780075598
5000,0.001,200,50,True,logistic,0.7256195780075598
5000,0.001,100,50,False,logistic,0.7253755230808387
4000,0.001,100,50,False,logistic,0.7253755230808387
3000,0.001,100,50,False,logistic,0.7253755230808387
1000,0.001,100,50,False,logistic,0.7253755230808387
2000,0.001,100,50,False,logistic,0.7253755230808387
5000,0.01,50,200,True,relu,0.72510440087824
1000,0.01,50,200,True,relu,0.72510440087824
4000,0.01,50,200,True,relu,0.72510440087824
3000,0.01,50,200,True,relu,0.72510440087824
2000,0.01,50,200,True,relu,0.72510440087824
1000,0.01,200,200,False,relu,0.7248299650913538
3000,0.01,200,200,False,relu,0.7248299650913538
4000,0.01,200,200,False,relu,0.7248299650913538
2000,0.01,200,200,False,relu,0.7248299650913538
5000,0.01,200,200,False,relu,0.7248299650913538
3000,0.001,50,100,True,tanh,0.7245905040754539
2000,0.001,50,100,True,tanh,0.7245905040754539
4000,0.001,50,100,True,tanh,0.7245905040754539
5000,0.001,50,100,True,tanh,0.7245905040754539
1000,0.001,50,100,True,tanh,0.7245905040754539
3000,0.01,100,100,True,relu,0.7245839735103641
1000,0.01,100,100,True,relu,0.7245839735103641
4000,0.01,100,100,True,relu,0.7245839735103641
5000,0.01,100,100,True,relu,0.7245839735103641
2000,0.01,100,100,True,relu,0.7245839735103641
2000,0.001,50,50,True,relu,0.7238556460041582
1000,0.001,50,50,True,relu,0.7238556460041582
5000,0.001,50,50,True,relu,0.7238556460041582
3000,0.001,50,50,True,relu,0.7238556460041582
4000,0.001,50,50,True,relu,0.7238556460041582
3000,0.001,200,100,False,logistic,0.7225083655641809
5000,0.001,200,100,False,logistic,0.7225083655641809
2000,0.001,200,100,False,logistic,0.7225083655641809
1000,0.001,200,100,False,logistic,0.7225083655641809
4000,0.001,200,100,False,logistic,0.7225083655641809
2000,0.001,50,200,False,relu,0.722310116608618
4000,0.001,50,200,False,relu,0.722310116608618
3000,0.001,50,200,False,relu,0.722310116608618
5000,0.001,50,200,False,relu,0.722310116608618
1000,0.001,50,200,False,relu,0.722310116608618
5000,0.001,50,100,False,logistic,0.7211590966231398
4000,0.001,50,100,False,logistic,0.7211590966231398
2000,0.001,50,100,False,logistic,0.7211590966231398
3000,0.001,50,100,False,logistic,0.7211590966231398
1000,0.001,50,100,False,logistic,0.7211590966231398
2000,0.1,50,50,True,logistic,0.720586384160325
1000,0.1,50,50,True,logistic,0.720586384160325
3000,0.1,50,50,True,logistic,0.720586384160325
4000,0.1,50,50,True,logistic,0.720586384160325
5000,0.1,50,50,True,logistic,0.720586384160325
1000,0.01,50,100,True,relu,0.7205356479682767
2000,0.01,50,100,True,relu,0.7205356479682767
5000,0.01,50,100,True,relu,0.7205356479682767
4000,0.01,50,100,True,relu,0.7205356479682767
3000,0.01,50,100,True,relu,0.7205356479682767
2000,0.01,100,200,False,logistic,0.7196020892995989
3000,0.01,100,200,False,logistic,0.7196020892995989
4000,0.01,100,200,False,logistic,0.7196020892995989
5000,0.01,100,200,False,logistic,0.7196020892995989
1000,0.01,100,200,False,logistic,0.7196020892995989
2000,0.1,50,200,False,relu,0.7194961659490788
5000,0.1,50,200,False,relu,0.7194961659490788
4000,0.1,50,200,False,relu,0.7194961659490788
3000,0.1,50,200,False,relu,0.7194961659490788
1000,0.1,50,200,False,relu,0.7194961659490788
3000,0.001,100,100,False,logistic,0.7194663464167239
2000,0.001,100,100,False,logistic,0.7194663464167239
1000,0.001,100,100,False,logistic,0.7194663464167239
5000,0.001,100,100,False,logistic,0.7194663464167239
4000,0.001,100,100,False,logistic,0.7194663464167239
2000,0.1,50,200,False,logistic,0.7187233243975896
1000,0.1,50,200,False,logistic,0.7187233243975896
4000,0.1,50,200,False,logistic,0.7187233243975896
3000,0.1,50,200,False,logistic,0.7187233243975896
5000,0.1,50,200,False,logistic,0.7187233243975896
5000,0.1,50,100,True,logistic,0.7184577428212646
3000,0.1,50,100,True,logistic,0.7184577428212646
4000,0.1,50,100,True,logistic,0.7184577428212646
1000,0.1,50,100,True,logistic,0.7184577428212646
2000,0.1,50,100,True,logistic,0.7184577428212646
3000,0.01,100,100,True,logistic,0.7180778041308642
2000,0.01,100,100,True,logistic,0.7180778041308642
4000,0.01,100,100,True,logistic,0.7180778041308642
1000,0.01,100,100,True,logistic,0.7180778041308642
5000,0.01,100,100,True,logistic,0.7180778041308642
1000,0.001,100,50,True,tanh,0.7170675728079632
3000,0.001,100,50,True,tanh,0.7170675728079632
2000,0.001,100,50,True,tanh,0.7170675728079632
4000,0.001,100,50,True,tanh,0.7170675728079632
5000,0.001,100,50,True,tanh,0.7170675728079632
1000,0.01,200,200,True,tanh,0.7169799850689254
5000,0.01,200,200,True,tanh,0.7169799850689254
3000,0.01,200,200,True,tanh,0.7169799850689254
4000,0.01,200,200,True,tanh,0.7169799850689254
2000,0.01,200,200,True,tanh,0.7169799850689254
4000,0.01,100,50,True,tanh,0.7165680066851188
5000,0.01,100,50,True,tanh,0.7165680066851188
2000,0.01,100,50,True,tanh,0.7165680066851188
1000,0.01,100,50,True,tanh,0.7165680066851188
3000,0.01,100,50,True,tanh,0.7165680066851188
4000,0.001,100,100,True,tanh,0.7164342365455264
5000,0.001,100,100,True,tanh,0.7164342365455264
3000,0.001,100,100,True,tanh,0.7164342365455264
2000,0.001,100,100,True,tanh,0.7164342365455264
1000,0.001,100,100,True,tanh,0.7164342365455264
5000,0.01,50,50,True,relu,0.7156692352799634
1000,0.01,50,50,True,relu,0.7156692352799634
2000,0.01,50,50,True,relu,0.7156692352799634
3000,0.01,50,50,True,relu,0.7156692352799634
4000,0.01,50,50,True,relu,0.7156692352799634
3000,0.01,200,50,False,relu,0.7153738621844106
5000,0.01,200,50,False,relu,0.7153738621844106
2000,0.01,200,50,False,relu,0.7153738621844106
4000,0.01,200,50,False,relu,0.7153738621844106
1000,0.01,200,50,False,relu,0.7153738621844106
4000,0.1,200,100,False,relu,0.7153183828036415
5000,0.1,200,100,False,relu,0.7153183828036415
2000,0.1,200,100,False,relu,0.7153183828036415
3000,0.1,200,100,False,relu,0.7153183828036415
1000,0.1,200,100,False,relu,0.7153183828036415
5000,0.001,50,50,True,tanh,0.7153045904662684
1000,0.001,50,50,True,tanh,0.7153045904662684
2000,0.001,50,50,True,tanh,0.7153045904662684
4000,0.001,50,50,True,tanh,0.7153045904662684
3000,0.001,50,50,True,tanh,0.7153045904662684
4000,0.001,50,200,True,relu,0.7137078069451241
2000,0.001,50,200,True,relu,0.7137078069451241
3000,0.001,50,200,True,relu,0.7137078069451241
1000,0.001,50,200,True,relu,0.7137078069451241
5000,0.001,50,200,True,relu,0.7137078069451241
1000,0.001,50,100,True,relu,0.7135110316306745
3000,0.001,50,100,True,relu,0.7135110316306745
4000,0.001,50,100,True,relu,0.7135110316306745
2000,0.001,50,100,True,relu,0.7135110316306745
5000,0.001,50,100,True,relu,0.7135110316306745
1000,0.001,100,50,True,logistic,0.7128575265773224
4000,0.001,100,50,True,logistic,0.7128575265773224
3000,0.001,100,50,True,logistic,0.7128575265773224
2000,0.001,100,50,True,logistic,0.7128575265773224
5000,0.001,100,50,True,logistic,0.7128575265773224
3000,0.01,50,200,True,tanh,0.7124776738817743
2000,0.01,50,200,True,tanh,0.7124776738817743
5000,0.01,50,200,True,tanh,0.7124776738817743
4000,0.01,50,200,True,tanh,0.7124776738817743
1000,0.01,50,200,True,tanh,0.7124776738817743
2000,0.01,200,50,False,logistic,0.7110595054001732
1000,0.01,200,50,False,logistic,0.7110595054001732
5000,0.01,200,50,False,logistic,0.7110595054001732
3000,0.01,200,50,False,logistic,0.7110595054001732
4000,0.01,200,50,False,logistic,0.7110595054001732
4000,0.001,100,100,False,relu,0.7103294338224437
5000,0.001,100,100,False,relu,0.7103294338224437
1000,0.001,100,100,False,relu,0.7103294338224437
3000,0.001,100,100,False,relu,0.7103294338224437
2000,0.001,100,100,False,relu,0.7103294338224437
5000,0.01,100,100,False,logistic,0.7095347235433409
4000,0.01,100,100,False,logistic,0.7095347235433409
2000,0.01,100,100,False,logistic,0.7095347235433409
1000,0.01,100,100,False,logistic,0.7095347235433409
3000,0.01,100,100,False,logistic,0.7095347235433409
1000,0.01,50,100,False,relu,0.705126339391845
3000,0.01,50,100,False,relu,0.705126339391845
4000,0.01,50,100,False,relu,0.705126339391845
2000,0.01,50,100,False,relu,0.705126339391845
5000,0.01,50,100,False,relu,0.705126339391845
2000,0.001,50,200,False,logistic,0.7034482753898864
4000,0.001,50,200,False,logistic,0.7034482753898864
1000,0.001,50,200,False,logistic,0.7034482753898864
3000,0.001,50,200,False,logistic,0.7034482753898864
5000,0.001,50,200,False,logistic,0.7034482753898864
2000,0.01,50,200,False,relu,0.7014103574859634
1000,0.01,50,200,False,relu,0.7014103574859634
5000,0.01,50,200,False,relu,0.7014103574859634
4000,0.01,50,200,False,relu,0.7014103574859634
3000,0.01,50,200,False,relu,0.7014103574859634
2000,0.001,50,50,True,logistic,0.70031879250864
1000,0.001,50,50,True,logistic,0.70031879250864
4000,0.001,50,50,True,logistic,0.70031879250864
5000,0.001,50,50,True,logistic,0.70031879250864
3000,0.001,50,50,True,logistic,0.70031879250864
2000,0.01,50,50,True,tanh,0.6929908217332938
3000,0.01,50,50,True,tanh,0.6929908217332938
4000,0.01,50,50,True,tanh,0.6929908217332938
5000,0.01,50,50,True,tanh,0.6929908217332938
1000,0.01,50,50,True,tanh,0.6929908217332938
5000,0.01,200,100,True,logistic,0.6908298211772361
4000,0.01,200,100,True,logistic,0.6908298211772361
1000,0.01,200,100,True,logistic,0.6908298211772361
3000,0.01,200,100,True,logistic,0.6908298211772361
2000,0.01,200,100,True,logistic,0.6908298211772361
5000,0.001,100,200,True,relu,0.6905039844171271
1000,0.001,100,200,True,relu,0.6905039844171271
2000,0.001,100,200,True,relu,0.6905039844171271
4000,0.001,100,200,True,relu,0.6905039844171271
3000,0.001,100,200,True,relu,0.6905039844171271
1000,0.001,200,200,False,logistic,0.6891102816066645
3000,0.001,200,200,False,logistic,0.6891102816066645
4000,0.001,200,200,False,logistic,0.6891102816066645
5000,0.001,200,200,False,logistic,0.6891102816066645
2000,0.001,200,200,False,logistic,0.6891102816066645
4000,0.01,100,100,True,tanh,0.6872117769055783
5000,0.01,100,100,True,tanh,0.6872117769055783
2000,0.01,100,100,True,tanh,0.6872117769055783
3000,0.01,100,100,True,tanh,0.6872117769055783
1000,0.01,100,100,True,tanh,0.6872117769055783
2000,0.01,100,200,True,logistic,0.6830726986259773
1000,0.01,100,200,True,logistic,0.6830726986259773
5000,0.01,100,200,True,logistic,0.6830726986259773
4000,0.01,100,200,True,logistic,0.6830726986259773
3000,0.01,100,200,True,logistic,0.6830726986259773
3000,0.01,100,200,False,tanh,0.6827420914429401
5000,0.01,100,200,False,tanh,0.6827420914429401
4000,0.01,100,200,False,tanh,0.6827420914429401
2000,0.01,100,200,False,tanh,0.6827420914429401
1000,0.01,100,200,False,tanh,0.6827420914429401
5000,0.001,50,200,True,logistic,0.6816660889220056
4000,0.001,50,200,True,logistic,0.6816660889220056
1000,0.001,50,200,True,logistic,0.6816660889220056
2000,0.001,50,200,True,logistic,0.6816660889220056
3000,0.001,50,200,True,logistic,0.6816660889220056
4000,0.1,50,100,False,logistic,0.6809578011356778
2000,0.1,50,100,False,logistic,0.6809578011356778
1000,0.1,50,100,False,logistic,0.6809578011356778
3000,0.1,50,100,False,logistic,0.6809578011356778
5000,0.1,50,100,False,logistic,0.6809578011356778
4000,0.1,50,200,True,relu,0.6790800167678125
2000,0.1,50,200,True,relu,0.6790800167678125
3000,0.1,50,200,True,relu,0.6790800167678125
5000,0.1,50,200,True,relu,0.6790800167678125
1000,0.1,50,200,True,relu,0.6790800167678125
3000,0.1,100,200,False,logistic,0.6782311126548102
1000,0.1,100,200,False,logistic,0.6782311126548102
4000,0.1,100,200,False,logistic,0.6782311126548102
2000,0.1,100,200,False,logistic,0.6782311126548102
5000,0.1,100,200,False,logistic,0.6782311126548102
3000,0.1,50,50,True,tanh,0.6771839148014493
5000,0.1,50,50,True,tanh,0.6771839148014493
2000,0.1,50,50,True,tanh,0.6771839148014493
4000,0.1,50,50,True,tanh,0.6771839148014493
1000,0.1,50,50,True,tanh,0.6771839148014493
3000,0.001,50,100,True,logistic,0.6759723592540422
1000,0.001,50,100,True,logistic,0.6759723592540422
2000,0.001,50,100,True,logistic,0.6759723592540422
5000,0.001,50,100,True,logistic,0.6759723592540422
4000,0.001,50,100,True,logistic,0.6759723592540422
3000,0.001,100,200,True,tanh,0.6757554212562844
2000,0.001,100,200,True,tanh,0.6757554212562844
5000,0.001,100,200,True,tanh,0.6757554212562844
4000,0.001,100,200,True,tanh,0.6757554212562844
1000,0.001,100,200,True,tanh,0.6757554212562844
2000,0.01,50,100,False,tanh,0.6735065095281305
5000,0.01,50,100,False,tanh,0.6735065095281305
4000,0.01,50,100,False,tanh,0.6735065095281305
1000,0.01,50,100,False,tanh,0.6735065095281305
3000,0.01,50,100,False,tanh,0.6735065095281305
5000,0.01,200,200,False,tanh,0.6699061775586436
4000,0.01,200,200,False,tanh,0.6699061775586436
3000,0.01,200,200,False,tanh,0.6699061775586436
1000,0.01,200,200,False,tanh,0.6699061775586436
2000,0.01,200,200,False,tanh,0.6699061775586436
2000,0.001,100,100,True,logistic,0.6693556433696419
3000,0.001,100,100,True,logistic,0.6693556433696419
1000,0.001,100,100,True,logistic,0.6693556433696419
4000,0.001,100,100,True,logistic,0.6693556433696419
