max_iter,learning_rate_init,hidden_layer_sizes_1,early_stopping,activation,validation_score
1000,0.001,125,False,relu,0.7629405411095471
1000,0.001,150,False,relu,0.7576116884327164
1000,0.1,50,False,relu,0.751633640146698
1000,0.001,50,False,relu,0.7515318696076055
1000,0.1,75,False,relu,0.7511106730619401
1000,0.001,75,False,tanh,0.750312183875281
1000,0.01,100,False,relu,0.7491166807747399
1000,0.001,75,False,relu,0.7482023984124972
1000,0.1,5,False,tanh,0.7470888986836557
1000,0.01,100,True,relu,0.7456273126568143
1000,0.001,100,False,relu,0.7446029907605811
1000,0.1,75,False,tanh,0.74375428899021
1000,0.1,150,False,relu,0.7414754560860426
1000,0.001,125,True,relu,0.7411426159557131
1000,0.01,125,False,relu,0.7398245865761799
1000,0.001,50,False,tanh,0.7396054901104594
1000,0.01,125,True,relu,0.7394616884155077
1000,0.1,10,False,tanh,0.7380612227815297
1000,0.01,75,False,relu,0.7362823450369138
1000,0.01,10,False,tanh,0.7360280580386516
1000,0.001,150,True,relu,0.7355829679067283
1000,0.1,25,True,relu,0.735475117685304
1000,0.001,25,False,tanh,0.7350771701541635
1000,0.01,75,False,tanh,0.7347529119805004
1000,0.01,150,True,relu,0.7347054171681798
1000,0.01,25,False,tanh,0.7345502531201635
1000,0.01,25,False,relu,0.7326504031708119
1000,0.01,25,True,relu,0.7318460331890331
1000,0.01,5,False,tanh,0.7314864788365192
1000,0.001,125,False,tanh,0.7312056807545088
1000,0.001,25,False,relu,0.7307781147857844
1000,0.001,100,True,relu,0.7295756120280955
1000,0.001,75,True,relu,0.7287831827581321
1000,0.1,150,True,relu,0.7285548651283282
1000,0.001,150,False,tanh,0.7283566538670778
1000,0.1,50,True,relu,0.7278718256809771
1000,0.001,25,True,relu,0.7277740489966653
1000,0.001,100,False,tanh,0.7272456994190333
1000,0.1,100,False,relu,0.7251881022849891
1000,0.01,75,True,relu,0.7246189847181523
1000,0.1,75,True,tanh,0.7243413748564094
1000,0.01,25,True,tanh,0.7240887353596093
1000,0.01,50,False,tanh,0.72252305620915
1000,0.1,75,True,relu,0.7208168792777063
1000,0.01,50,True,relu,0.7202623924449044
1000,0.01,10,True,relu,0.720082178126765
1000,0.1,5,False,relu,0.7197469383203268
1000,0.01,75,True,tanh,0.7186300373201723
1000,0.01,150,True,tanh,0.7174642859955576
1000,0.1,25,False,relu,0.7172509229113715
1000,0.01,150,False,tanh,0.7172177511610951
1000,0.01,10,False,relu,0.716641881268397
1000,0.1,25,True,tanh,0.7153756365794914
1000,0.1,125,True,relu,0.7150779607177502
1000,0.01,50,True,tanh,0.7145108360976098
1000,0.1,100,True,tanh,0.7140592284143612
1000,0.1,25,False,tanh,0.7137870358597447
1000,0.01,125,False,tanh,0.7137623674306459
1000,0.01,50,False,relu,0.7130064196641054
1000,0.001,10,False,tanh,0.7118163586764603
1000,0.001,10,False,relu,0.7114108346162061
1000,0.001,50,True,relu,0.7107996094076015
1000,0.01,150,False,relu,0.7101876266160502
1000,0.1,50,True,tanh,0.7092259827855997
1000,0.01,10,True,tanh,0.7060825143139187
1000,0.01,100,False,tanh,0.7052916033988108
1000,0.1,10,True,relu,0.7048807446184611
1000,0.1,150,False,tanh,0.7032215787691672
1000,0.1,100,False,tanh,0.70251594351515
1000,0.001,5,False,tanh,0.6995202565881432
1000,0.1,125,False,relu,0.6994001910947516
1000,0.01,5,False,relu,0.6993880242784276
1000,0.1,150,True,tanh,0.6920220071118526
1000,0.1,10,False,relu,0.6894283863222077
1000,0.1,50,False,tanh,0.6889739607017525
1000,0.1,10,True,tanh,0.6862080310002232
1000,0.01,100,True,tanh,0.6848779050264051
1000,0.1,125,True,tanh,0.684198555041374
1000,0.001,10,True,relu,0.6831857654088542
1000,0.001,50,True,tanh,0.6782423479645074
1000,0.001,5,True,relu,0.6715363683235194
1000,0.1,125,False,tanh,0.6697542459272101
1000,0.1,5,True,tanh,0.6688540527689263
1000,0.01,5,True,relu,0.6668495787347198
1000,0.001,5,False,relu,0.6661858448954456
1000,0.001,75,True,tanh,0.6660375470935376
1000,0.01,125,True,tanh,0.6647723721128869
1000,0.001,10,True,tanh,0.6643983102136104
1000,0.001,25,True,tanh,0.6641223291461903
1000,0.001,150,True,tanh,0.6637017080760431
1000,0.1,5,True,relu,0.6607811338173047
1000,0.001,100,True,tanh,0.6604288911834899
1000,0.001,125,True,tanh,0.6566222689613355
1000,0.01,5,True,tanh,0.6373762736476173
1000,0.001,5,True,tanh,0.6313908181607026
1000,0.1,100,True,relu,0.6214940880660784
